nom,titre,niveau,parti_politique,region,legislature,statut,email,telephone,site_web,photo_url,source_url
"Mary Simon",Gouverneur général,fédéral,,Canada,,actif,info@gg.ca,,https://www.gg.ca,,https://www.gg.ca/fr/gouverneure-generale
"Richard Wagner",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx?id=richard-wagner
"Andromache Karakatsanis",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Suzanne Côté",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Malcolm Rowe",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Sheilah L. Martin",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Nicholas Kasirer",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Mahmud Jamal",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Michelle O'Bonsawin",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Mary T. Moreau",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"SÉNATEUR EXEMPLE",Sénateur,fédéral,Indépendant,Québec,45,actif,senateur@sen.parl.gc.ca,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
