nom,titre,niveau,parti_politique,region,legislature,statut,email,telephone,site_web,photo_url,source_url
"Mary Simon",Gouverneur général,fédéral,,Canada,,actif,info@gg.ca,,https://www.gg.ca,,https://www.gg.ca/fr/gouverneure-generale
"Richard Wagner",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Andromache Karakatsanis",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Suzanne Côté",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Malcolm Rowe",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Sheilah L. Martin",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Nicholas Kasirer",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Mahmud Jamal",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Michelle O'Bonsawin",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Mary T. Moreau",Juge,fédéral,,Canada,,actif,,,https://www.scc-csc.ca,,https://www.scc-csc.ca/judges-juges/cju-jcu-fra.aspx
"Pierrette Ringuette",Sénateur,fédéral,"Groupe des sénateurs indépendants",Nouveau-Brunswick,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Percy Downe",Sénateur,fédéral,"Groupe des sénateurs canadiens",Île-du-Prince-Édouard,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Michael L. MacDonald",Sénateur,fédéral,"Parti conservateur du Canada",Nouvelle-Écosse,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Yonah Martin",Sénateur,fédéral,"Parti conservateur du Canada",Colombie-Britannique,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Pamela Wallin",Sénateur,fédéral,"Groupe des sénateurs canadiens",Saskatchewan,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Patrick Brazeau",Sénateur,fédéral,"Non affilié",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Leo Housakos",Sénateur,fédéral,"Parti conservateur du Canada",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Claude Carignan",Sénateur,fédéral,"Parti conservateur du Canada",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Rose-May Poirier",Sénateur,fédéral,"Parti conservateur du Canada",Nouveau-Brunswick,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Salma Ataullahjan",Sénateur,fédéral,"Parti conservateur du Canada",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Fabian Manning",Sénateur,fédéral,"Parti conservateur du Canada",Terre-Neuve-et-Labrador,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Josée Verner",Sénateur,fédéral,"Groupe des sénateurs canadiens",Québec,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Denise Batters",Sénateur,fédéral,"Parti conservateur du Canada",Saskatchewan,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"David Wells",Sénateur,fédéral,"Parti conservateur du Canada",Terre-Neuve-et-Labrador,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Scott Tannas",Sénateur,fédéral,"Groupe des sénateurs canadiens",Alberta,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
"Peter Harder",Sénateur,fédéral,"Groupe progressiste du Sénat",Ontario,45,actif,,,https://sencanada.ca,,https://sencanada.ca/fr/senateurs/
